,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,2000-08-19,,Premier League,Matchweek 1,Sat,Away,L,0,1,Sunderland,,"47,121",,,Steve Dunn,Match Report,,2000-2001
1,2000-08-21,,Premier League,Matchweek 2,Mon,Home,W,2,0,Liverpool,,"38,014",,,Graham Poll,Match Report,,2000-2001
2,2000-08-26,,Premier League,Matchweek 3,Sat,Home,W,5,3,Charlton Ath,,"38,025",,,Stephen Lodge,Match Report,,2000-2001
3,2000-09-06,,Premier League,Matchweek 4,Wed,Away,D,2,2,Chelsea,,"34,923",,,Mike Riley,Match Report,,2000-2001
4,2000-09-09,,Premier League,Matchweek 5,Sat,Away,D,1,1,Bradford City,,"17,160",,,Alan Wiley,Match Report,,2000-2001
5,2000-09-12,,Champions Lg,First group stage,Tue,Away,W,1,0,cz Sparta Prague,,,,,Gilles Veissière,Match Report,,2000-2001
6,2000-09-16,,Premier League,Matchweek 6,Sat,Home,W,2,1,Coventry City,,"37,794",,,Mike Dean,Match Report,,2000-2001
7,2000-09-20,,Champions Lg,First group stage,Wed,Home,W,3,2,ua Shakhtar Donetsk,,,,,Hartmut Strampe,Match Report,,2000-2001
8,2000-09-23,,Premier League,Matchweek 7,Sat,Away,D,1,1,Ipswich Town,,"22,030",,,Paul Durkin,Match Report,,2000-2001
9,2000-09-27,,Champions Lg,First group stage,Wed,Home,W,2,0,it Lazio,,,,,García Aranda,Match Report,,2000-2001
10,2000-10-01,,Premier League,Matchweek 8,Sun,Home,W,1,0,Manchester Utd,,"38,146",,,Graham Barber,Match Report,,2000-2001
11,2000-10-14,,Premier League,Matchweek 9,Sat,Home,W,1,0,Aston Villa,,"38,042",,,Rob Harris,Match Report,,2000-2001
12,2000-10-17,,Champions Lg,First group stage,Tue,Away,D,1,1,it Lazio,,,,,Hellmut Krug,Match Report,,2000-2001
13,2000-10-21,,Premier League,Matchweek 10,Sat,Away,W,2,1,West Ham,,"26,034",,,Dermot Gallagher,Match Report,,2000-2001
14,2000-10-25,,Champions Lg,First group stage,Wed,Home,W,4,2,cz Sparta Prague,,,,,Alain Hamer,Match Report,,2000-2001
15,2000-10-28,,Premier League,Matchweek 11,Sat,Home,W,5,0,Manchester City,,"38,049",,,Rob Styles,Match Report,,2000-2001
16,2000-11-04,,Premier League,Matchweek 12,Sat,Away,W,1,0,Middlesbrough,,"29,541",,,Andy D'Urso,Match Report,,2000-2001
17,2000-11-07,,Champions Lg,First group stage,Tue,Away,L,0,3,ua Shakhtar Donetsk,,,,,Knud Erik Fisker,Match Report,,2000-2001
18,2000-11-11,,Premier League,Matchweek 13,Sat,Home,D,0,0,Derby County,,"37,679",,,Stephen Lodge,Match Report,,2000-2001
19,2000-11-18,,Premier League,Matchweek 14,Sat,Away,L,0,2,Everton,,"33,106",,,Mike Riley,Match Report,,2000-2001
20,2000-11-22,,Champions Lg,Second group stage,Wed,Away,L,1,4,ru Spartak Moscow,,,,,Pierluigi Collina,Match Report,,2000-2001
21,2000-11-26,,Premier League,Matchweek 15,Sun,Away,L,0,1,Leeds United,,"38,084",,,Dermot Gallagher,Match Report,,2000-2001
22,2000-12-02,,Premier League,Matchweek 16,Sat,Home,W,1,0,Southampton,,"38,036",,,Steve Dunn,Match Report,,2000-2001
23,2000-12-05,,Champions Lg,Second group stage,Tue,Home,D,2,2,de Bayern Munich,,,,,Stefano Braschi,Match Report,,2000-2001
24,2000-12-09,,Premier League,Matchweek 17,Sat,Home,W,5,0,Newcastle Utd,,"38,052",,,Mike Dean,Match Report,,2000-2001
25,2000-12-18,,Premier League,Matchweek 18,Mon,Away,D,1,1,Tottenham,,"36,062",,,Jeff Winter,Match Report,,2000-2001
26,2000-12-23,,Premier League,Matchweek 19,Sat,Away,L,0,4,Liverpool,,"44,144",,,Paul Durkin,Match Report,,2000-2001
27,2000-12-26,,Premier League,Matchweek 20,Tue,Home,W,6,1,Leicester City,,"38,007",,,Dermot Gallagher,Match Report,,2000-2001
28,2000-12-30,,Premier League,Matchweek 21,Sat,Home,D,2,2,Sunderland,,"38,026",,,Graham Barber,Match Report,,2000-2001
29,2001-01-01,,Premier League,Matchweek 22,Mon,Away,L,0,1,Charlton Ath,,"20,043",,,Graham Poll,Match Report,,2000-2001
30,2001-01-13,,Premier League,Matchweek 23,Sat,Home,D,1,1,Chelsea,,"38,071",,,David Elleray,Match Report,,2000-2001
31,2001-01-20,,Premier League,Matchweek 24,Sat,Away,D,0,0,Leicester City,,"21,872",,,Barry Knight,Match Report,,2000-2001
32,2001-01-30,,Premier League,Matchweek 25,Tue,Home,W,2,0,Bradford City,,"37,318",,,Clive Wilkes,Match Report,,2000-2001
33,2001-02-03,,Premier League,Matchweek 26,Sat,Away,W,1,0,Coventry City,,"22,035",,,Mike Dean,Match Report,,2000-2001
34,2001-02-10,,Premier League,Matchweek 27,Sat,Home,W,1,0,Ipswich Town,,"38,011",,,Rob Harris,Match Report,,2000-2001
35,2001-02-13,,Champions Lg,Second group stage,Tue,Away,W,1,0,fr Lyon,,,,,Urs Meier,Match Report,,2000-2001
36,2001-02-21,,Champions Lg,Second group stage,Wed,Home,D,1,1,fr Lyon,,,,,Ľuboš Michel,Match Report,,2000-2001
37,2001-02-25,,Premier League,Matchweek 28,Sun,Away,L,1,6,Manchester Utd,,"67,535",,,Paul Durkin,Match Report,,2000-2001
38,2001-03-03,,Premier League,Matchweek 29,Sat,Home,W,3,0,West Ham,,"38,071",,,Mike Riley,Match Report,,2000-2001
39,2001-03-06,,Champions Lg,Second group stage,Tue,Home,W,1,0,ru Spartak Moscow,,,,,Rune Pedersen,Match Report,,2000-2001
40,2001-03-14,,Champions Lg,Second group stage,Wed,Away,L,0,1,de Bayern Munich,,,,,Anders Frisk,Match Report,,2000-2001
41,2001-03-18,,Premier League,Matchweek 30,Sun,Away,D,0,0,Aston Villa,,"36,111",,,Barry Knight,Match Report,,2000-2001
42,2001-03-31,,Premier League,Matchweek 31,Sat,Home,W,2,0,Tottenham,,"38,121",,,Paul Durkin,Match Report,,2000-2001
43,2001-04-04,,Champions Lg,Quarter-finals,Wed,Home,W,2,1,es Valencia,,,,,Dick Jol,Match Report,Leg 1 of 2,2000-2001
44,2001-04-11,,Premier League,Matchweek 34,Wed,Away,W,4,0,Manchester City,,"33,444",,,Neale Barry,Match Report,,2000-2001
45,2001-04-14,,Premier League,Matchweek 33,Sat,Home,L,0,3,Middlesbrough,,"37,879",,,Paul Durkin,Match Report,,2000-2001
46,2001-04-17,,Champions Lg,Quarter-finals,Tue,Away,L,0,1,es Valencia,,,,,Kim Milton Nielsen,Match Report,Leg 2 of 2; Valencia won,2000-2001
47,2001-04-21,,Premier League,Matchweek 35,Sat,Home,W,4,1,Everton,,"38,029",,,Dermot Gallagher,Match Report,,2000-2001
48,2001-04-28,,Premier League,Matchweek 36,Sat,Away,W,2,1,Derby County,,"29,567",,,Graham Barber,Match Report,,2000-2001
49,2001-05-05,,Premier League,Matchweek 37,Sat,Home,W,2,1,Leeds United,,"38,142",,,Peter Jones,Match Report,,2000-2001
50,2001-05-15,,Premier League,Matchweek 32,Tue,Away,D,0,0,Newcastle Utd,,"50,729",,,Alan Wiley,Match Report,,2000-2001
51,2001-05-19,,Premier League,Matchweek 38,Sat,Away,L,2,3,Southampton,,"15,252",,,Paul Taylor,Match Report,,2000-2001
52,2001-08-18,,Premier League,Matchweek 1,Sat,Away,W,4,0,Middlesbrough,,"31,557",,,Graham Barber,Match Report,,2001-2002
53,2001-08-21,,Premier League,Matchweek 2,Tue,Home,L,1,2,Leeds United,,"38,062",,,Jeff Winter,Match Report,,2001-2002
54,2001-08-25,,Premier League,Matchweek 3,Sat,Home,W,4,0,Leicester City,,"37,909",,,Andy D'Urso,Match Report,,2001-2002
55,2001-09-08,,Premier League,Matchweek 4,Sat,Away,D,1,1,Chelsea,,"40,855",,,Mike Riley,Match Report,,2001-2002
56,2001-09-11,,Champions Lg,First group stage,Tue,Away,L,0,1,es Mallorca,,,,,Knud Erik Fisker,Match Report,,2001-2002
57,2001-09-15,,Premier League,Matchweek 5,Sat,Away,W,3,1,Fulham,,"20,805",,,Alan Wiley,Match Report,,2001-2002
58,2001-09-19,,Champions Lg,First group stage,Wed,Home,W,3,2,de Schalke 04,,,,,Claude Colombo,Match Report,,2001-2002
59,2001-09-22,,Premier League,Matchweek 7,Sat,Home,D,1,1,Bolton,,"38,014",,,Clive Wilkes,Match Report,,2001-2002
60,2001-09-26,,Champions Lg,First group stage,Wed,Away,L,0,1,gr Panathinaikos,,,,,Vítor Melo Pereira,Match Report,,2001-2002
61,2001-09-29,,Premier League,Matchweek 8,Sat,Away,W,2,0,Derby County,,"29,200",,,Rob Styles,Match Report,,2001-2002
62,2001-10-13,,Premier League,Matchweek 9,Sat,Away,W,2,0,Southampton,,"29,759",,,Graham Barber,Match Report,,2001-2002
63,2001-10-16,,Champions Lg,First group stage,Tue,Home,W,2,1,gr Panathinaikos,,,,,Urs Meier,Match Report,,2001-2002
64,2001-10-20,,Premier League,Matchweek 10,Sat,Home,D,3,3,Blackburn,,"38,108",,,Uriah Rennie,Match Report,,2001-2002
65,2001-10-24,,Champions Lg,First group stage,Wed,Home,W,3,1,es Mallorca,,,,,Dick Jol,Match Report,,2001-2002
66,2001-10-27,,Premier League,Matchweek 11,Sat,Away,D,1,1,Sunderland,,"48,029",,,Mike Riley,Match Report,,2001-2002
67,2001-10-30,,Champions Lg,First group stage,Tue,Away,L,1,3,de Schalke 04,,,,,John Mcclelland,Match Report,,2001-2002
68,2001-11-04,,Premier League,Matchweek 12,Sun,Home,L,2,4,Charlton Ath,,"38,010",,,Mark Halsey,Match Report,,2001-2002
69,2001-11-17,,Premier League,Matchweek 13,Sat,Away,D,1,1,Tottenham,,"36,049",,,Jeff Winter,Match Report,,2001-2002
70,2001-11-21,,Champions Lg,Second group stage,Wed,Away,L,0,2,es La Coruña,,,,,Terje Hauge,Match Report,,2001-2002
71,2001-11-25,,Premier League,Matchweek 14,Sun,Home,W,3,1,Manchester Utd,,"38,174",,,Peter Jones,Match Report,,2001-2002
72,2001-12-01,,Premier League,Matchweek 15,Sat,Away,W,2,0,Ipswich Town,,"24,666",,,David Elleray,Match Report,,2001-2002
73,2001-12-04,,Champions Lg,Second group stage,Tue,Home,W,3,1,it Juventus,,,,,Vítor Melo Pereira,Match Report,,2001-2002
74,2001-12-09,,Premier League,Matchweek 16,Sun,Home,W,3,2,Aston Villa,,"38,074",,,Alan Wiley,Match Report,,2001-2002
75,2001-12-15,,Premier League,Matchweek 17,Sat,Away,D,1,1,West Ham,,"34,523",,,Mike Riley,Match Report,,2001-2002
76,2001-12-18,,Premier League,Matchweek 6,Tue,Home,L,1,3,Newcastle Utd,,"38,012",,,Graham Poll,Match Report,,2001-2002
77,2001-12-23,,Premier League,Matchweek 18,Sun,Away,W,2,1,Liverpool,,"44,297",,,Paul Durkin,Match Report,,2001-2002
78,2001-12-26,,Premier League,Matchweek 19,Wed,Home,W,2,1,Chelsea,,"38,079",,,Graham Barber,Match Report,,2001-2002
79,2001-12-29,,Premier League,Matchweek 20,Sat,Home,W,2,1,Middlesbrough,,"37,948",,,Andy D'Urso,Match Report,,2001-2002
80,2002-01-13,,Premier League,Matchweek 22,Sun,Home,D,1,1,Liverpool,,"38,132",,,Steve Dunn,Match Report,,2001-2002
81,2002-01-20,,Premier League,Matchweek 23,Sun,Away,D,1,1,Leeds United,,"40,143",,,Mark Halsey,Match Report,,2001-2002
82,2002-01-23,,Premier League,Matchweek 21,Wed,Away,W,3,1,Leicester City,,"21,344",,,David Elleray,Match Report,,2001-2002
83,2002-01-30,,Premier League,Matchweek 24,Wed,Away,W,3,2,Blackburn,,"25,893",,,Dermot Gallagher,Match Report,,2001-2002
84,2002-02-02,,Premier League,Matchweek 25,Sat,Home,D,1,1,Southampton,,"38,024",,,Clive Wilkes,Match Report,,2001-2002
85,2002-02-10,,Premier League,Matchweek 26,Sun,Away,W,1,0,Everton,,"30,859",,,Jeff Winter,Match Report,,2001-2002
86,2002-02-19,,Champions Lg,Second group stage,Tue,Away,D,1,1,de Leverkusen,,,,,Alain Sars,Match Report,,2001-2002
87,2002-02-23,,Premier League,Matchweek 27,Sat,Home,W,4,1,Fulham,,"38,029",,,Uriah Rennie,Match Report,,2001-2002
88,2002-02-27,,Champions Lg,Second group stage,Wed,Home,W,4,1,de Leverkusen,,,,,Alain Hamer,Match Report,,2001-2002
89,2002-03-02,,Premier League,Matchweek 28,Sat,Away,W,2,0,Newcastle Utd,,"52,067",,,Neale Barry,Match Report,,2001-2002
90,2002-03-05,,Premier League,Matchweek 29,Tue,Home,W,1,0,Derby County,,"37,878",,,Graham Barber,Match Report,,2001-2002
91,2002-03-12,,Champions Lg,Second group stage,Tue,Home,L,0,2,es La Coruña,,,,,Urs Meier,Match Report,,2001-2002
92,2002-03-17,,Premier League,Matchweek 30,Sun,Away,W,2,1,Aston Villa,,"41,520",,,Steve Dunn,Match Report,,2001-2002
93,2002-03-20,,Champions Lg,Second group stage,Wed,Away,L,0,1,it Juventus,,,,,Karl-Erik Nilsson,Match Report,,2001-2002
94,2002-03-30,,Premier League,Matchweek 32,Sat,Home,W,3,0,Sunderland,,"38,047",,,Paul Durkin,Match Report,,2001-2002
95,2002-04-01,,Premier League,Matchweek 33,Mon,Away,W,3,0,Charlton Ath,,"26,339",,,Andy D'Urso,Match Report,,2001-2002
96,2002-04-06,,Premier League,Matchweek 34,Sat,Home,W,2,1,Tottenham,,"38,186",,,Mark Halsey,Match Report,,2001-2002
97,2002-04-21,,Premier League,Matchweek 36,Sun,Home,W,2,0,Ipswich Town,,"38,058",,,Alan Wiley,Match Report,,2001-2002
98,2002-04-24,,Premier League,Matchweek 31,Wed,Home,W,2,0,West Ham,,"38,038",,,Steve Dunn,Match Report,,2001-2002
99,2002-04-29,,Premier League,Matchweek 37,Mon,Away,W,2,0,Bolton,,"27,351",,,Dermot Gallagher,Match Report,,2001-2002
100,2002-05-08,,Premier League,Matchweek 35,Wed,Away,W,1,0,Manchester Utd,,"67,580",,,Paul Durkin,Match Report,,2001-2002
101,2002-05-11,,Premier League,Matchweek 38,Sat,Home,W,4,3,Everton,,"38,254",,,Mark Halsey,Match Report,,2001-2002
102,2002-08-18,,Premier League,Matchweek 1,Sun,Home,W,2,0,Birmingham City,,"38,018",,,Mike Riley,Match Report,,2002-2003
103,2002-08-24,,Premier League,Matchweek 2,Sat,Away,D,2,2,West Ham,,"35,048",,,Neale Barry,Match Report,,2002-2003
104,2002-08-27,,Premier League,Matchweek 3,Tue,Home,W,5,2,West Brom,,"37,920",,,Paul Durkin,Match Report,,2002-2003
105,2002-09-01,,Premier League,Matchweek 4,Sun,Away,D,1,1,Chelsea,,"40,037",,,Andy D'Urso,Match Report,,2002-2003
106,2002-09-10,,Premier League,Matchweek 5,Tue,Home,W,2,1,Manchester City,,"37,878",,,Clive Wilkes,Match Report,,2002-2003
107,2002-09-14,,Premier League,Matchweek 6,Sat,Away,W,3,0,Charlton Ath,,"26,080",,,Steve Dunn,Match Report,,2002-2003
108,2002-09-17,,Champions Lg,First group stage,Tue,Home,W,2,0,de Dortmund,,,,,Anders Frisk,Match Report,,2002-2003
109,2002-09-21,,Premier League,Matchweek 7,Sat,Home,W,2,1,Bolton,,"37,974",,,David Pugh,Match Report,,2002-2003
110,2002-09-25,,Champions Lg,First group stage,Wed,Away,W,4,0,nl PSV Eindhoven,,,,,Ľuboš Michel,Match Report,,2002-2003
111,2002-09-28,,Premier League,Matchweek 8,Sat,Away,W,4,1,Leeds United,,"40,199",,,Alan Wiley,Match Report,,2002-2003
112,2002-10-02,,Champions Lg,First group stage,Wed,Away,W,1,0,fr Auxerre,,,,,Frank de Bleeckere,Match Report,,2002-2003
113,2002-10-06,,Premier League,Matchweek 9,Sun,Home,W,3,1,Sunderland,,"37,902",,,David Elleray,Match Report,,2002-2003
114,2002-10-19,,Premier League,Matchweek 10,Sat,Away,L,1,2,Everton,,"39,038",,,Uriah Rennie,Match Report,,2002-2003
115,2002-10-22,,Champions Lg,First group stage,Tue,Home,L,1,2,fr Auxerre,,,,,Domenico Messina,Match Report,,2002-2003
116,2002-10-26,,Premier League,Matchweek 11,Sat,Home,L,1,2,Blackburn,,"38,064",,,Graham Barber,Match Report,,2002-2003
117,2002-10-30,,Champions Lg,First group stage,Wed,Away,L,1,2,de Dortmund,,,,,Mejuto González,Match Report,,2002-2003
118,2002-11-03,,Premier League,Matchweek 12,Sun,Away,W,1,0,Fulham,,"18,800",,,Jeff Winter,Match Report,,2002-2003
119,2002-11-09,,Premier League,Matchweek 13,Sat,Home,W,1,0,Newcastle Utd,,"38,121",,,Mike Dean,Match Report,,2002-2003
120,2002-11-12,,Champions Lg,First group stage,Tue,Home,D,0,0,nl PSV Eindhoven,,,,,Tom Henning Øvrebø,Match Report,,2002-2003
121,2002-11-16,,Premier League,Matchweek 14,Sat,Home,W,3,0,Tottenham,,"38,152",,,Mike Riley,Match Report,,2002-2003
122,2002-11-23,,Premier League,Matchweek 15,Sat,Away,L,2,3,Southampton,,"31,797",,,Paul Durkin,Match Report,,2002-2003
123,2002-11-27,,Champions Lg,Second group stage,Wed,Away,W,3,1,it Roma,,,,,Ľuboš Michel,Match Report,,2002-2003
124,2002-11-30,,Premier League,Matchweek 16,Sat,Home,W,3,1,Aston Villa,,"38,090",,,Graham Barber,Match Report,,2002-2003
125,2002-12-07,,Premier League,Matchweek 17,Sat,Away,L,0,2,Manchester Utd,,"67,650",,,Dermot Gallagher,Match Report,,2002-2003
126,2002-12-10,,Champions Lg,Second group stage,Tue,Home,D,0,0,es Valencia,,,,,Kim Milton Nielsen,Match Report,,2002-2003
127,2002-12-15,,Premier League,Matchweek 18,Sun,Away,D,1,1,Tottenham,,"36,076",,,Neale Barry,Match Report,,2002-2003
128,2002-12-21,,Premier League,Matchweek 19,Sat,Home,W,2,0,Middlesbrough,,"38,003",,,Steve Dunn,Match Report,,2002-2003
129,2002-12-26,,Premier League,Matchweek 20,Thu,Away,W,2,1,West Brom,,"27,025",,,Graham Poll,Match Report,,2002-2003
130,2002-12-29,,Premier League,Matchweek 21,Sun,Home,D,1,1,Liverpool,,"38,074",,,Jeff Winter,Match Report,,2002-2003
131,2003-01-01,,Premier League,Matchweek 22,Wed,Home,W,3,2,Chelsea,,"38,096",,,Uriah Rennie,Match Report,,2002-2003
132,2003-01-12,,Premier League,Matchweek 23,Sun,Away,W,4,0,Birmingham City,,"29,505",,,Stephen Bennett,Match Report,,2002-2003
133,2003-01-19,,Premier League,Matchweek 24,Sun,Home,W,3,1,West Ham,,"38,053",,,Mike Dean,Match Report,,2002-2003
134,2003-01-29,,Premier League,Matchweek 25,Wed,Away,D,2,2,Liverpool,,"43,668",,,Mark Halsey,Match Report,,2002-2003
135,2003-02-01,,Premier League,Matchweek 26,Sat,Home,W,2,1,Fulham,,"38,050",,,Eddie Wolstenholme,Match Report,,2002-2003
136,2003-02-09,,Premier League,Matchweek 27,Sun,Away,D,1,1,Newcastle Utd,,"52,157",,,Neale Barry,Match Report,,2002-2003
137,2003-02-18,,Champions Lg,Second group stage,Tue,Home,D,1,1,nl Ajax,,,,,Lucílio Batista,Match Report,,2002-2003
138,2003-02-22,,Premier League,Matchweek 28,Sat,Away,W,5,1,Manchester City,,"34,960",,,Paul Durkin,Match Report,,2002-2003
139,2003-02-26,,Champions Lg,Second group stage,Wed,Away,D,0,0,nl Ajax,,,,,Valentin Ivanov,Match Report,,2002-2003
140,2003-03-02,,Premier League,Matchweek 29,Sun,Home,W,2,0,Charlton Ath,,"38,015",,,Rob Styles,Match Report,,2002-2003
141,2003-03-11,,Champions Lg,Second group stage,Tue,Home,D,1,1,it Roma,,,,,Urs Meier,Match Report,,2002-2003
142,2003-03-15,,Premier League,Matchweek 30,Sat,Away,L,0,2,Blackburn,,"29,840",,,Stephen Bennett,Match Report,,2002-2003
143,2003-03-19,,Champions Lg,Second group stage,Wed,Away,L,1,2,es Valencia,,,,,Kyros Vassaras,Match Report,,2002-2003
144,2003-03-23,,Premier League,Matchweek 31,Sun,Home,W,2,1,Everton,,"38,042",,,Alan Wiley,Match Report,,2002-2003
145,2003-04-05,,Premier League,Matchweek 32,Sat,Away,D,1,1,Aston Villa,,"42,602",,,Uriah Rennie,Match Report,,2002-2003
146,2003-04-16,,Premier League,Matchweek 35,Wed,Home,D,2,2,Manchester Utd,,"38,164",,,Mark Halsey,Match Report,,2002-2003
147,2003-04-19,,Premier League,Matchweek 34,Sat,Away,W,2,0,Middlesbrough,,"34,724",,,David Elleray,Match Report,,2002-2003
148,2003-04-26,,Premier League,Matchweek 36,Sat,Away,D,2,2,Bolton,,"27,253",,,Andy D'Urso,Match Report,,2002-2003
149,2003-05-04,,Premier League,Matchweek 37,Sun,Home,L,2,3,Leeds United,,"38,127",,,Alan Wiley,Match Report,,2002-2003
150,2003-05-07,,Premier League,Matchweek 33,Wed,Home,W,6,1,Southampton,,"38,052",,,Uriah Rennie,Match Report,,2002-2003
151,2003-05-11,,Premier League,Matchweek 38,Sun,Away,W,4,0,Sunderland,,"40,188",,,Paul Durkin,Match Report,,2002-2003
152,2003-08-16,,Premier League,Matchweek 1,Sat,Home,W,2,1,Everton,,"38,014",,,Mark Halsey,Match Report,,2003-2004
153,2003-08-24,,Premier League,Matchweek 2,Sun,Away,W,4,0,Middlesbrough,,"29,450",,,Dermot Gallagher,Match Report,,2003-2004
154,2003-08-27,,Premier League,Matchweek 3,Wed,Home,W,2,0,Aston Villa,,"38,010",,,Mike Dean,Match Report,,2003-2004
155,2003-08-31,,Premier League,Matchweek 4,Sun,Away,W,2,1,Manchester City,,"46,436",,,Graham Poll,Match Report,,2003-2004
156,2003-09-13,,Premier League,Matchweek 5,Sat,Home,D,1,1,Portsmouth,,"38,052",,,Alan Wiley,Match Report,,2003-2004
157,2003-09-17,,Champions Lg,Group stage,Wed,Home,L,0,3,it Inter,,,,,Mejuto González,Match Report,,2003-2004
158,2003-09-21,,Premier League,Matchweek 6,Sun,Away,D,0,0,Manchester Utd,,"67,639",,,Stephen Bennett,Match Report,,2003-2004
159,2003-09-26,,Premier League,Matchweek 7,Fri,Home,W,3,2,Newcastle Utd,,"38,112",,,Mike Riley,Match Report,,2003-2004
160,2003-09-30,,Champions Lg,Group stage,Tue,Away,D,0,0,ru Loko Moscow,,,,,Jan Wegereef,Match Report,,2003-2004
161,2003-10-04,,Premier League,Matchweek 8,Sat,Away,W,2,1,Liverpool,,"44,374",,,Graham Barber,Match Report,,2003-2004
162,2003-10-18,,Premier League,Matchweek 9,Sat,Home,W,2,1,Chelsea,,"38,172",,,Paul Durkin,Match Report,,2003-2004
163,2003-10-21,,Champions Lg,Group stage,Tue,Away,L,1,2,ua Dynamo Kyiv,,,,,Konrad Plautz,Match Report,,2003-2004
164,2003-10-26,,Premier League,Matchweek 10,Sun,Away,D,1,1,Charlton Ath,,"26,639",,,Steve Dunn,Match Report,,2003-2004
165,2003-11-01,,Premier League,Matchweek 11,Sat,Away,W,4,1,Leeds United,,"36,491",,,Mike Dean,Match Report,,2003-2004
166,2003-11-05,,Champions Lg,Group stage,Wed,Home,W,1,0,ua Dynamo Kyiv,,,,,Lucílio Batista,Match Report,,2003-2004
167,2003-11-08,,Premier League,Matchweek 12,Sat,Home,W,2,1,Tottenham,,"38,101",,,Mark Halsey,Match Report,,2003-2004
168,2003-11-22,,Premier League,Matchweek 13,Sat,Away,W,3,0,Birmingham City,,"29,588",,,Paul Durkin,Match Report,,2003-2004
169,2003-11-25,,Champions Lg,Group stage,Tue,Away,W,5,1,it Inter,,,,,Wolfgang Stark,Match Report,,2003-2004
